id,name,industry
10137,ALLEGHENY ENERGY INC,Utilities
10138,T ROWE PRICE GROUP INC,Finance
10140,SEALRIGHT COMPANY INC,Manufacturing
10141,GANDER MOUNTAIN INC,Retail
10142,IMTEC INC,Business Equipment
10143,O S I PHARMACEUTICALS INC,Healthcare
10144,NATIONAL INSTITUTE CAREERS INC,Other
10145,HONEYWELL INTERNATIONAL INC,"Oil, Gas, and Coal"
10146,A E C INC,Manufacturing
10147,E M C CORP MA,Business Equipment
10148,TRADITIONAL INDUSTRIES INC,Retail
10149,EAGLE BANCSHARES INC,Finance
10150,TLII LIQUIDATING CORP,Other
10153,ALLIS CHALMERS CORP,Manufacturing
10154,A E L INDUSTRIES INC,Business Equipment
10155,ELECTRIC & GAS TECHNOLOGY INC,Business Equipment
10157,NORTH SIDE SAVINGS BANK BRONX,Finance
10158,AMERESCO INC,Other
10160,SANDATA TECHNOLOGIES,Business Equipment
10161,AMAX INC,Other
10163,X RITE INC,Manufacturing
10164,CAMBRIDGE ANALYTICAL ASSOC INC,Other
10166,LONG LAKE ENERGY CORP,Utilities
10168,ARNOX CORP,Chemicals
10170,FAMILY STEAK HOUSES FL INC,Retail
10173,SEABOARD BANCORP INC,Finance
10175,BARRYS JEWELERS INC,Retail
10177,DETWILER MITCHELL & CO,Finance
10178,GOLDEN BOOKS FAMILY ENT INC,Consumer non Durables
10179,R C S B FINANCIAL INC,Finance
10180,AKORN INC,Healthcare
10181,MUNICIPAL DEVELOPMENT CORP,Finance
10182,TECH DATA CORP,Retail
10184,ALFA INTERNATIONAL CORP,Consumer non Durables
10185,MERRILL CORP,Manufacturing
10187,HEALTHPLEX INC,Other
10189,A F A PROTECTIVE SYSTEMS INC,Other
10190,COLOROCS CORP,Manufacturing
10191,TEXCEL INTERNATIONAL INC,Other
10192,M S CARRIERS INC,Other
10193,OSPREY HOLDING INC,Business Equipment
10194,SOMERSET GROUP INC,Manufacturing
10195,COMMONWEALTH TELE ENTRPS INC,Telecommunications
10198,DEL PAINT CORP,Chemicals
10199,ARBOR DRUGS INC,Retail
10200,REPLIGEN CORP,Healthcare
10202,CAPITAL WIRE & CABLE CORP,Manufacturing
10205,L S B CORP,Finance
10211,WESTCORP INC,Finance
10212,INFRASONICS INC,Healthcare
10213,AMERICAN TRAVELLERS CORP,Finance
10214,PLASTI LINE INC,Manufacturing
10216,WORLDWIDE XCEED GROUP INC,Manufacturing
10218,A F P IMAGING CORP,Healthcare
10219,TELESIS SYSTEMS CORP,Business Equipment
10220,B W X TECHNOLOGIES INC,Other
10222,FRETTER INC,Retail
10224,REGENCY CRUISES INC,Other
10225,BEAM INC,Consumer non Durables
10227,KIMMINS CORP,Other
10228,INTERFUND CORP,Finance
10229,NORTH AMERICAN COMMUNS CORP NEW,Telecommunications
10230,ANDOVER BANCORP INC DEL,Finance
10231,COMMUNITY BANKSHARES INC NH,Finance
10232,ELMIRA SAVINGS BANK NY,Finance
10233,AMERICAN BROADCASTING COS INC,Telecommunications
10234,A G M INDUSTRIES INC,Manufacturing
10235,PHOTOWORKS INC,Retail
10236,WEBSTER CLOTHES INC,Retail
10238,GREAT LAKES BANCORP INC NEW,Finance
10239,PROTECTIVE INSURANCE CORP,Finance
10241,PRIMERICA CORP,Manufacturing
10242,TRANS FINANCIAL INC,Finance
10243,ATLANFED BANCORP INC,Finance
10244,POLLUTION RESEARCH & CTRL CORP,Manufacturing
10245,SHELLY ASSOCIATES INC,Business Equipment
10246,MID SOUTH INSURANCE CO,Finance
10247,GANTOS INC NEW,Retail
10248,CIMCO INC,Manufacturing
10249,SPORTSMANS GUIDE INC,Retail
10250,MERIDIAN NATIONAL CORP,Manufacturing
10252,INDEPENDENT BANK CORP MA,Finance
10253,D S S INC,Other
10254,STERLING INC,Retail
10255,VERTICOM INC,Business Equipment
10256,MICROLOG CORP,Business Equipment
10257,D L H HOLDINGS CORP,Other
10258,CELLDEX THERAPEUTICS INC,Healthcare
10259,SIGMA DESIGNS INC,Business Equipment
10260,ALLSTAR VIDEO INC,Other
10262,COGNITIVE SYSTEMS INC,Business Equipment
10264,UNIVATION INC,Business Equipment
10271,MASSBANK CORP,Finance
10272,TEKELEC,Business Equipment
10274,BETA PHASE INC,Business Equipment
10278,WHEELABRATOR TECHNOLOGIES INC NW,Healthcare
10279,GENETICS INSTITUTE INC,Healthcare
10281,AUTOINFO INC,Business Equipment
10282,BRENDLES INC,Retail
10285,A I M TELEPHONES INC,Other
10286,PROSPECT GROUP INC,Consumer non Durables
10287,A T I MEDICAL INC,Other
10288,BEAR AUTOMOTIVE SVC EQUIP CO,Retail
10289,ANGIO MEDICAL CORP,Healthcare
10290,HARLEYSVILLE GROUP INC,Finance
10291,FAMIGLIA BRANDS INC,Consumer non Durables
10294,HAVERTY FURNITURE COS INC,Retail
10296,GRENADA SUNBURST SYS CORP,Finance
10297,LAKE SUNAPEE BANK GROUP,Finance
10299,LINEAR TECHNOLOGY CORP,Business Equipment
10300,WORLDWIDE COMPUTER SVCS INC,Other
10301,TRANSFORM LOGIC CORP,Business Equipment
10302,CYPRESS SEMICONDUCTOR CORP,Business Equipment
10303,PRIME CAPITAL CORP,Other
10304,AMCORE FINANCIAL INC,Finance
10307,MILLER BUILDING SYSTEMS INC,Manufacturing
10308,TOMPKINS FINANCIAL CORP,Finance
10309,SKANEATELES BANCORP INC,Finance
10311,ALLISONS PLACE INC,Retail
10314,A M COMMUNICATIONS INC,Other
10315,NETWORK VIDEO INC,Retail
10316,CAMERA PLATFORMS INTL INC,Consumer Durables
10317,SOUTHERNNET INC,Telecommunications
10318,BALCHEM CORP,Chemicals
10319,FIRST INTER BANCORP INC,Finance
10320,AMERICAN BIONETICS INC,Healthcare
10321,AMERICAN MOTORS CORP,Consumer Durables
10324,GENZYME CORP,Healthcare
10325,CASUAL MALE CORP MASS,Retail
10326,NYTEST ENVIRONMENTAL INC,Other
10328,SOMATIX THERAPY CORP,Healthcare
10329,STATESWEST AIRLINES INC,Other
10333,XOMA CORP,Healthcare
10334,CAL STAR FINANCIAL SVCS INC,Finance
10337,PALM SPRINGS SAVINGS BANK,Finance
10341,ABINGTON BANCORP INC NEW,Finance
10342,INAMED CORP,Healthcare
10343,INFINITY BROADCASTING CORP,Telecommunications
10344,LINCOLN FOODSERVICE PRODS INC,Manufacturing
10346,I F X CORP,Finance
10347,APPLIED SPECTRUM TECHN INC,Business Equipment
10351,PSICOR INC,Healthcare
10352,MARIETTA CORP,Chemicals
10353,STEEL EXCEL INC,Business Equipment
10354,INTERNATIONAL CONSUMER BRDS INC,Manufacturing
10355,DAILY JOURNAL CORP,Consumer non Durables
10358,ARI HOLDINGS INC,Finance
10360,AVONDALE INDUSTRIES INC,Manufacturing
10361,ANDOVER TOGS INC,Consumer non Durables
10362,BUTLER INTERNATIONAL INC NEW,Finance
10363,A M A G PHARMACEUTICALS INC,Healthcare
10364,ASARCO INC,Manufacturing
10370,SYBRA INC,Retail
10371,CANDELA CORP,Healthcare
10372,AMERICAN STANDARD INC,Manufacturing
10374,DIGITAL METCOM INC,Other
10375,T C F FINANCIAL CORP,Finance
10376,NATIONAL SANITARY SUPPLY CO,Retail
10379,INTERNATIONAL GENETIC ENGR INC,Healthcare
10382,ASTEC INDUSTRIES INC,Manufacturing
10383,CYTOGEN CORP,Healthcare
10384,RUDYS RESTAURANT GROUP INC,Retail
10385,A T N N INC,Other
10386,AEGIS COMMUNICATIONS GROUP INC,Consumer non Durables
10387,FLAGSHIP EXPRESS INC,Business Equipment
10388,TRENWICK GROUP LTD,Finance
10389,NEECO INC,Retail
10390,G H S INC,Business Equipment
10393,TIDEMARK BANCORP INC,Finance
10394,COSMETIC CENTER INC,Retail
10395,NAVIGATORS GROUP INC,Finance
10396,COMPUTER COMPONENTS CORP,Business Equipment
10397,WERNER ENTERPRISES INC,Other
10398,INTERLEAF INC,Business Equipment
10401,A T & T CORP,Telecommunications
10403,WORLDS OF WONDER INC,Retail
10404,REWARDS NETWORK INC,Retail
10406,PHARMERICA INC,Retail
10407,ALOETTE COSMETICS INC,Retail
10409,AMERICAN HEALTH COS INC,Healthcare
10410,JONES PHARMA INC,Healthcare
10411,ROYCE LABORATORIES INC,Healthcare
10412,GENICOM CORP,Business Equipment
10413,ROYALPAR INDUSTRIES INC,Other
10414,ELDEC CORP,Business Equipment
10415,NUTMEG INDUSTRIES INC,Consumer non Durables
10416,MICROBILT CORP,Business Equipment
10417,ALLOY COMPUTER PRODUCTS INC,Business Equipment
10418,A S A INTERNATIONAL LTD,Business Equipment
10419,CREATIVE TECHNOLOGIES CORP,Consumer Durables
10421,SKYWEST INC,Other
10422,ALPNET INC,Business Equipment
10423,SOUND ADVICE INC,Retail
10424,CLEVITE INDUSTRIES INC,Consumer Durables
10425,RYAN BECK & CO INC,Finance
10426,SAN FRANCISCO CO,Finance
10429,ASK GROUP INC,Business Equipment
10432,ARITECH CORP,Business Equipment
10434,L A GEAR INC,Consumer non Durables
10438,HOME FEDERAL FINANCIAL CORP,Finance
10439,COMMNET CELLULAR INC,Telecommunications
10441,XYVISION INC,Business Equipment
10442,K L L M TRANSPORT SVCS INC,Other
10443,F R P HOLDINGS INC,Other
10446,POLK AUDIO INC,Consumer Durables
10449,BANCORP CONNECTICUT INC,Finance
10450,FIRST MEDICAL DEVICES CORP,Business Equipment
10451,F H P INTERNATIONAL CORP,Healthcare
10453,B F ENTERPRISES INC,Finance
10455,AMERIQUEST TECHNOLOGIES INC,Business Equipment
10456,C E M CORP,Business Equipment
10457,B F S BANKORP INC,Finance
10458,SOMERSET SAVINGS BANK,Finance
10459,GENMAR INDUSTRIES INC,Manufacturing
10460,AMETEK INC,Business Equipment
10461,DIME FINANCIAL CORP,Finance
10462,CALGENE INC,Healthcare
10463,RESEARCH FRONTIERS INC,Chemicals
10467,WARREN BANCORP INC,Finance
10468,AMERICAN CRUISE LINES INC,Other
10469,DYNATEM INC,Business Equipment
10470,MORGAN OLMSTEAD KENNEDY GARD CAP,Finance
10471,QUEST BIOTECHNOLOGY INC,Other
10472,SHOE CITY CORP,Retail
10473,TIPTON CENTERS INC,Retail
10477,AVESIS INC,Retail
10479,AMSTAR CORP,Consumer non Durables
10480,A T V SYSTEMS INC,Business Equipment
10482,WASTE RECOVERY INC,Other
10484,WESTON ROY F INC NEW,Other
10487,AMSTED INDUSTRIES INC,Manufacturing
10488,AMERICAN LOCKER GROUP,Manufacturing
10490,GARTNER GROUP INC,Business Equipment
10491,FIRST AMERI CABLE CORP,Telecommunications
10494,SANDWICH BANCORP INC,Finance
10496,A W COMPUTER SYSTEMS INC,Business Equipment
10499,NICHOLS HOMESHIELD INC,Manufacturing
10501,AMERICAN WOODMARK CORP,Other
10504,BONNEVILLE PACIFIC CORP,Utilities
10505,JIFFY LUBE INTERNATIONAL INC,Other
10506,INTEGRATED BRANDS INC,Consumer non Durables
10507,MEDICAL ACTION INDS INC,Healthcare
10512,IGENE BIOTECHNOLOGY INC,Chemicals
10513,LIPOSOME COMPANY INC,Healthcare
10514,KASPIEN HOLDINGS INC,Retail
10515,FLUOR DANIEL G T I INC,Other
10516,ARCHER DANIELS MIDLAND CO,Consumer non Durables
10517,PROG HOLDINGS INC,Consumer Durables
10518,PACIFIC SOUTHWEST AIRLINES NEW,Other
10519,IMAGINE FILMS ENTERTAINMENT INC,Other
10520,BERES INDUSTRIES INC,Manufacturing
10522,TRIANGLE INDUSTRIES INC NEW,Manufacturing
10523,ALLURE COSMETICS LTD,Chemicals
10527,MARK VII INC,Other
10528,CELLULAR COMMUNICATIONS INC,Telecommunications
10530,MERIDIAN BIOSCIENCE INC,Healthcare
10531,METAL MANAGEMENT INC,Business Equipment
10536,EDISON CONTROL CORP,Manufacturing
10537,SYNTRO CORP,Healthcare
10538,AMERICAN LEARNING CORP,Other
10543,CARIBBEAN SELECT INC,Consumer non Durables
10544,NATIONWIDE CELLULAR SERVICE INC,Telecommunications
10545,THERMO INSTRUMENT SYSTEMS INC,Business Equipment
10547,CLEARFIELD INC,Business Equipment
10548,NETWORK CONTROL CORP,Business Equipment
10549,AMERICAN EQUINE PRODUCTS INC,Healthcare
10550,PRO DEX INC COLO,Healthcare
10551,GROVE BANK,Finance
10554,PINCH OR POUND INC,Retail
10555,AMERICAN MEDICAL ELECTRONICS INC,Healthcare
10556,STARS TO GO INC,Other
10557,GEONEX CORP,Other
10558,WEAREVER PROCTOR SILEX INC,Consumer Durables
10559,ASSOCIATED DRY GOODS CORP,Retail
10561,H & S TREAT & RELEASE INC,Consumer Durables
10562,SOVEREIGN BANCORP INC,Finance
10563,HORIZON FINANCIAL CORP WASH,Finance
10564,ADELPHIA COMMUNICATIONS CORP,Telecommunications
10566,HAVERFIELD CORP,Finance
10568,SERVIDYNE INC,Other
10569,CENTER FINANCIAL CORP,Finance
10570,AMERICAN TELEVISION & COM CP NEW,Telecommunications
10571,EATERIES INC,Retail
10572,DEVON GROUP INC NEW,Consumer non Durables
10573,VILLAGE GREEN BOOKSTORE INC,Retail
10574,BENTLEY PHARMACEUTICALS INC,Healthcare
10578,ALTAI INC,Business Equipment
10580,N F S FINANCIAL CORP,Finance
10581,BANKWORCESTER CORP,Finance
10586,QUIPP INC,Manufacturing
10587,INTEGRATED COMPUTER GRAPHICS INC,Business Equipment
10588,GRANITE STATE BANKSHARES INC,Finance
10589,ROADRUNNER ENTERPRISES INC,Other
10592,ACAPULCO RESTAURANTS,Retail
10593,TRANSNATIONAL INDUSTRIES INC,Manufacturing
10594,DIME BANCORP INC NEW,Finance
10595,NEW YORK CITY SHOES INC,Retail
10596,PEOPLES SAVINGS FINANCIAL CORP,Finance
10597,FRANKLIN ELECTRONIC PUBLSHS INC,Business Equipment
10598,BROAD NATIONAL BANCORP,Finance
10599,AXLON INC,Retail
10602,TOTAL HEALTH SYSTEMS INC,Healthcare
10603,F N B ROCHESTER CORP,Finance
10604,ATLANTIC RICHFIELD CO,"Oil, Gas, and Coal"
10605,ACCEL INTERNATIONAL CORP,Finance
10606,WATTS WATER TECHNOLOGIES INC,Manufacturing
10608,GENERAL KINETICS INC,Manufacturing
10610,MARBLE FINANCIAL CORP,Finance
10611,ACME METALS INC,Manufacturing
10614,P & C FOODS INC,Retail
10619,MCCORMICK CAPITAL INC,Finance
10622,WESTERBEKE CORP,Manufacturing
10623,FIRST REPUBLIC BANK S F,Finance
10624,JWGENESIS FINANCIAL CORP,Finance
10625,CASCADE INTERNATIONAL INC,Retail
10626,LE PEEP RESTAURANTS INC,Retail
10628,FRONTIER ADJUSTERS AMERICA INC,Finance
10629,F N B CORP PA,Finance
10630,COMMERCEBANCORP CA,Finance
10631,CALSTAR INC,Retail
10632,SHELTON BANCORP INC,Finance
10633,S C S COMPUTE INC,Business Equipment
10634,SMITH TECHNOLOGY CORP,Other
10636,Q V C INC,Retail
10637,VERTEX INTERACTIVE INC,Consumer Durables
10638,HARLEYSVILLE NATIONAL CORP PA,Finance
10640,ACCURAY CORP,Business Equipment
10644,THERAGENICS CORP,Healthcare
10645,LAKELAND INDUSTRIES INC,Healthcare
10646,CABLE CAR BEVERAGE CORP,Retail
10649,P A M TRANSPORTATION SVCS INC,Other
10650,ACCESS ANYTIME BANCORP,Finance
10652,VICTORIA CREATIONS INC,Consumer non Durables
10654,MIDCONN BANK KENSINGTON CT,Finance
10656,ACETO CORP,Chemicals
10657,ADVO INC,Other
10658,LUXTEC CORP,Manufacturing
10659,BIO REFERENCE LABORATORIES INC,Healthcare
10661,CYANOTECH CORP,Consumer non Durables
10662,GOLDEN VALLEY MICROWAVE FDS INC,Consumer non Durables
10664,ACMAT CORP,Other
10667,FUEL SYSTEMS SOLUTIONS INC,Business Equipment
10669,KENTUCKY MEDICAL INSURANCE CO,Finance
10670,QUINCY SAVINGS BANK,Finance
10672,ACME GENERAL CORP,Manufacturing
10675,PULSE BANCORP INC,Finance
10676,ENVIROQ CORP,Other
10677,CEASE FIRE CORP,Consumer Durables
10678,BILDNER J & SONS INC,Retail
10680,DWYER GROUP INC THE,Finance
10682,UNITED FINANCIAL CORP,Finance
10683,S F F E D CORP,Finance
10685,DURAMED PHARMACEUTICALS INC,Healthcare
10686,VIRAL RESPONSE SYSTEMS INC,Healthcare
10687,SAGE ANALYTICS INTL INC,Other
10688,UNICO INC DE,Other
10691,ASCENTIAL SOFTWARE CORP,Business Equipment
10693,ENCOMPASS HEALTH CORP,Healthcare
10696,FISERV INC,Business Equipment
10697,PEOPLES BANCORP WORCESTER INC,Finance
10698,BARBER OIL CORP,"Oil, Gas, and Coal"
10699,ACRO ENERGY CORP,Manufacturing
10701,MEDIAGENIC,Consumer Durables
10702,S C O R US CORP,Finance
10703,INTERCARE INC,Healthcare
10704,GOLDEN POULTRY CO INC,Consumer non Durables
10705,I C N BIOMEDICALS INC,Healthcare
10706,TRAVEL PORTS OF AMERICA INC,Retail
10709,MANATRON INC,Business Equipment
10710,GLENDALE BANCORPATION,Finance
10712,KNUTSON MORTGAGE CORP,Finance
10713,LIFE TECHNOLOGIES INC,Healthcare
10714,CRYENCO SCIENCES INC,Manufacturing
10715,GATEWAY BANCORP INC,Finance
10716,CORRECTIONS CORP AMERICA,Other
10718,CENTERCORE INC,Manufacturing
10720,ACTMEDIA INC,Other
10721,ARMOR ALL PRODS CORP,Chemicals
10723,M I SCHOTTENSTEIN HOMES INC,Other
10724,PIONEER FINANCIAL SERVICES INC,Finance
10725,CHARTER ONE FINANCIAL INC,Finance
10726,CHESAPEAKE BIOLOGICAL LABS INC,Healthcare
10727,BAYUK CIGARS INC,Consumer non Durables
10729,PROFESSIONAL AGRICULTL MGMT INC,Consumer non Durables
10730,TODAYS BANCORP INC,Finance
10731,DATAMETRICS CORP,Business Equipment
10733,AMERICAN CONSUMER PRODUCTS INC,Consumer non Durables
10737,MICROWAVE LABS INC,Business Equipment
10738,CHIPS & TECHNOLOGIES INC,Business Equipment
10739,I D B COMMUNICATIONS GROUP INC,Telecommunications
10742,COMMONWEALTH MORTGAGE CO INC,Finance
10743,BELDING HEMINWAY INC,Consumer non Durables
10745,BALDWIN PIANO & ORGAN CO,Consumer Durables
10746,CLABIR CORP,Manufacturing
10748,SCIENTIFIC SYSTEMS INC,Business Equipment
10749,KENAN TRANSPORT CO,Other
10750,CARMIKE CINEMAS INC,Other
10751,BENDIX CORP,Manufacturing
10752,ADAC LABORATORIES INC,Healthcare
10753,FRONTIER INSURANCE GROUP INC,Finance
10755,METROWEST BANK,Finance
10757,HERITAGE FINANCIAL SVCS INC,Finance
10758,ULTIMAP CORP,Other
10761,MICHAEL ANTHONY JEWELERS INC,Consumer Durables
10763,AMERICAN NURSERY PRODS INC,Consumer non Durables
10765,CONVEX COMPUTER CORP,Business Equipment
10766,MORINO INC,Business Equipment
10767,KRISCH AMERICAN INNS INC,Other
10768,INMAC CORP,Retail
10769,CENTRAL BANCORP INC,Finance
10772,S E D INTERNATIONAL HOLDINGS INC,Retail
10774,JOHNSTOWN SAVINGS BANK F S B PA,Finance
10775,HEMACARE CORP,Healthcare
10776,VACATION PUBLICATIONS INC,Other
10777,FIRST CITIZENS BANCSHARES INC NC,Finance
10779,B K TECHNOLOGIES CORP,Business Equipment
10780,PEOPLES BANCSHARES INC MASS,Finance
10781,BANK SOUTH CAROLINA CORP,Finance
10783,HORIZON RESOURCES CORP,Other
10784,SHAWS SUPERMARKETS INC,Retail
10785,CALIFORNIA MICRO DEVICES CORP,Business Equipment
10786,BETHLEHEM STEEL CORP,Manufacturing
10787,ADDISON WESLEY PUBG INC,Consumer non Durables
10788,UNICARE FINANCIAL CORP,Finance
10790,SHOREWOOD PACKAGING CORP INC,Manufacturing
10791,SILICON GRAPHICS INC,Business Equipment
10796,POP RADIO CORP,Other
10799,FLORIDA FIRST BANCORP INC,Finance
10800,E A ENGINEERING SCI & TECH INC,Other
10801,METRO MOBILE CTS INC,Telecommunications
10802,TELECAST INC,Telecommunications
10803,CENTRIS GROUP INC,Finance
10805,OLYMPIA BROADCASTING CORP,Telecommunications
10806,FIND SVP INC,Other
10809,BRANFORD SAVINGS BANK CONN,Finance
10810,INDUSTRIAL TRAINING SYS CORP,Other
10811,CRITERION GROUP INC,Finance
10812,HEARTLAND EXPRESS INC,Other
10813,MEDMASTER SYSTEMS INC,Finance
10814,DELAWARE OSTEGO CORP,Other
10818,NOVACARE INC,Healthcare
10820,VESTAR INC,Healthcare
10821,SCOTT & STRINGFELLOW FINL INC,Finance
10822,GAINSCO INC,Finance
10823,KEYSPAN ENERGY CORP,Utilities
10824,ADVANCED LOGIC SYS INC,Business Equipment
10825,SOUTH FINL GROUP INC,Finance
10827,CONTINENTAL MEDICAL SYSTEMS INC,Healthcare
10828,B H A GROUP HOLDINGS,Manufacturing
10830,STROBER ORGANIZATION INC,Retail
10834,FAMILY BANCORP,Finance
10835,MILWAUKEE INSURANCE GROUP INC,Finance
10837,U S SERVIS INC,Business Equipment
10838,CYTRX CORP,Healthcare
10840,INTERCONTINENTAL ENTERPRISES INC,Finance
10841,GRIFFITH CONSUMERS CO,Retail
10842,SAZTEC INTERNATIONAL INC,Business Equipment
10843,ARGONAUT GROUP INC,Finance
10844,IRWIN MAGNETIC SYSTEMS INC,Business Equipment
10845,HUFFMAN KOOS INC,Retail
10847,FRESH JUICE CO INC,Consumer non Durables
10848,CORTRONIC CORP,Healthcare
10849,SPINNAKER SOFTWARE CORP,Business Equipment
10853,RENTRAK CORP,Retail
10854,NORWICH FINANCIAL CORP,Finance
10857,PLAYERS INTERNATIONAL INC,Other
10860,ORASURE TECHNOLOGIES INC,Healthcare
10861,CLAIRSON INTERNATIONAL CORP,Manufacturing
10862,ADMAR GROUP INC,Healthcare
10863,ELCOTEL INC,Business Equipment
10865,ALTERNATIVE HEALTH CARE SYS INC,Healthcare
10866,CALERES INC,Consumer non Durables
10867,ADVANCE CIRCUITS INC,Business Equipment
10868,J A M INC,Other
10869,H D R POWER SYSTEMS INC,Manufacturing
10870,P H P HEALTHCARE CORP,Healthcare
10871,STRATEGIC PLANNING ASSOCS INC,Other
10872,FARRAGUT MORTGAGE CO INC,Finance
10873,SECURITY BANCORP MT,Finance
10874,BRUNSWICK CORP,Manufacturing
10875,ADVANCE ROSS CORP NEW,Manufacturing
10876,RIGHT MANAGEMENT CONSULTANTS INC,Other
10878,COMMUNICATIONS WORLD INTL INC,Telecommunications
10879,GROSSMANS INC,Retail
10880,METROBANK N A LOS ANGELES,Finance
10881,ANALYTICAL SURVEYS INC,Other
10884,EDGCOMB CORP,Retail
10885,P C S INC,Finance
10886,DIXIE GROUP INC,Consumer non Durables
10888,SCIENCE ACCESSORIES CORP,Business Equipment
10889,O I S OPTICAL IMAGING SYSTS INC,Business Equipment
10890,UNISYS CORP,Business Equipment
10892,WSFS FINANCIAL CORP,Finance
10893,NATIONAL HEALTH ENHANCMT SYS INC,Healthcare
10894,AUTOBANC INC,Finance
10897,COMMUNITY BANCSHARES INC,Finance
10899,WENDT BRISTOL CO,Retail
10901,INVESTORS TITLE CO,Finance
10902,ANCHOR FINANCIAL CORP,Finance
10904,ADVANCED COMMUNICATIONS INC,Business Equipment
10905,SKYLINE CHILI INC,Consumer non Durables
10906,BANKNORTH GROUP INC ME,Finance
10907,ESSEX COMMUNICATIONS CORP,Telecommunications
10908,UNI MARTS INC,Retail
10909,CERNER CORP,Business Equipment
10910,HUNTER ENVIRONMENTAL SVCS INC,Other
10912,ADVANCED COMPUTER TECHNIQUES,Business Equipment
10913,FARMERS CAPITAL BANK CORP,Finance
10914,ALLWASTE INC,Other
10915,C R PLACE INC,Manufacturing
10916,COMMUNITY BANKS INC PA,Finance
